SSID; BSS; RSSI; Kanal; Datum
eduroam;" ""22:E8:29:EE:30:6E""";" ""-88""";" ""36""";" ""18:11:02"""
;" ""1E:E8:29:ED:30:A7""";" ""-86""";" ""1""";" ""18:10:55"""
;" ""1E:E8:29:ED:30:A7""";" ""-86""";" ""1""";" ""18:10:58"""
;" ""1E:E8:29:ED:30:A7""";" ""-86""";" ""1""";" ""18:11:02"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-72""";" ""11""";" ""18:10:55"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-67""";" ""11""";" ""18:10:58"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-69""";" ""11""";" ""18:11:02"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:10:55"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-79""";" ""36""";" ""18:10:58"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:11:02"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-75""";" ""44""";" ""18:10:55"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:10:58"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:11:02"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:10:55"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:10:58"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-87""";" ""44""";" ""18:11:02"""
;" ""1E:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:10:55"""
;" ""1E:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:10:58"""
;" ""1E:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:11:02"""
HFU Open;" ""26:E8:29:EE:30:A7""";" ""-82""";" ""40""";" ""18:10:55"""
HFU Open;" ""26:E8:29:EE:30:A7""";" ""-80""";" ""40""";" ""18:10:58"""
HFU Open;" ""26:E8:29:EE:30:A7""";" ""-80""";" ""40""";" ""18:11:02"""
HFU Open;" ""82:83:C2:70:21:C4""";" ""-94""";" ""1""";" ""18:11:02"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-77""";" ""6""";" ""18:10:55"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:10:58"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:11:02"""
;" ""1E:E8:29:EE:30:6E""";" ""-88""";" ""36""";" ""18:10:55"""
;" ""1E:E8:29:EE:30:6E""";" ""-88""";" ""36""";" ""18:10:58"""
;" ""1E:E8:29:EE:30:6E""";" ""-88""";" ""36""";" ""18:11:02"""
HFU Open;" ""26:E8:29:EE:32:54""";" ""-81""";" ""36""";" ""18:10:55"""
HFU Open;" ""26:E8:29:EE:32:54""";" ""-82""";" ""36""";" ""18:10:58"""
HFU Open;" ""26:E8:29:EE:32:54""";" ""-80""";" ""36""";" ""18:11:02"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-75""";" ""44""";" ""18:10:55"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:10:58"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:11:02"""
HFU Guest;" ""18:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:10:55"""
HFU Guest;" ""18:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:10:58"""
HFU Guest;" ""18:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:11:02"""
;" ""BA:FB:E4:4E:13:20""";" ""-59""";" ""44""";" ""18:10:58"""
;" ""BA:FB:E4:4E:13:20""";" ""-59""";" ""44""";" ""18:11:02"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-88""";" ""36""";" ""18:10:58"""
HFU Open;" ""86:8A:20:0F:32:62""";" ""-88""";" ""36""";" ""18:11:02"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-77""";" ""1""";" ""18:10:55"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-76""";" ""1""";" ""18:10:58"""
HFU Guest;" ""B4:FB:E4:4D:17:84""";" ""-79""";" ""1""";" ""18:11:02"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:10:55"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-79""";" ""36""";" ""18:10:58"""
eduroam;" ""82:8A:20:0F:32:CA""";" ""-79""";" ""36""";" ""18:11:02"""
